category,rank,company,segment,domain,contact_count
AmLaw 100 law firms,72,Lewis Brisbois Bisgaard & Smith,Combined (Hub-and-Spoke),lewisbrisbois.com,0
AmLaw 100 law firms,73,Blank Rome,Central Team,blankrome.com,0
AmLaw 100 law firms,74,"Fragomen, Del Rey, Bernsen & Loewy",Central Team,fragomen.com,0
AmLaw 100 law firms,75,Baker Botts,Central Team,bakerbotts.com,0
AmLaw 100 law firms,76,Womble Bond Dickinson,Combined (Hub-and-Spoke),womblebonddickinson.com,0
AmLaw 100 law firms,77,Ogletree Deakins,Industry Vertical,ogletree.com,0
AmLaw 100 law firms,78,Barnes & Thornburg,Central Team,btlaw.com,0
AmLaw 100 law firms,79,Jackson Lewis,Industry Vertical,jacksonlewis.com,0
AmLaw 100 law firms,80,Cozen O'Connor,Central Team,cozen.com,0
AmLaw 100 law firms,81,Jenner & Block,Central Team,jenner.com,0
AmLaw 100 law firms,82,Husch Blackwell,Industry Vertical,huschblackwell.com,0
AmLaw 100 law firms,83,Mintz,Industry Vertical,mintz.com,0
AmLaw 100 law firms,84,Duane Morris,Central Team,duanemorris.com,0
AmLaw 100 law firms,85,Haynes and Boone,Central Team,haynesboone.com,0
AmLaw 100 law firms,86,Crowell & Moring,Central Team,crowell.com,0
AmLaw 100 law firms,87,Williams & Connolly,Partner/Lawyer-Led,wc.com,0
AmLaw 100 law firms,88,Nixon Peabody,Central Team,nixonpeabody.com,0
AmLaw 100 law firms,89,Ballard Spahr,Central Team,ballardspahr.com,0
AmLaw 100 law firms,90,Davis Wright Tremaine,Central Team,dwt.com,0
AmLaw 100 law firms,91,ArentFox Schiff,Central Team,afslaw.com,0
AmLaw 100 law firms,92,Susman Godfrey,Partner/Lawyer-Led,susmangodfrey.com,0
AmLaw 100 law firms,93,"Shook, Hardy & Bacon",Central Team,shb.com,0
AmLaw 100 law firms,94,Wilson Elser,Central Team,wilsonelser.com,0
AmLaw 100 law firms,95,Kilpatrick Townsend,Central Team,kilpatricktownsend.com,0
AmLaw 100 law firms,96,Akerman,Central Team,akerman.com,0
AmLaw 100 law firms,97,"Cadwalader, Wickersham & Taft",Partner/Lawyer-Led,cadwalader.com,0
AmLaw 100 law firms,98,Steptoe,Central Team,steptoe.com,0
AmLaw 100 law firms,99,Dorsey & Whitney,Central Team,dorsey.com,0
AmLaw 100 law firms,100,Bradley Arant Boult Cummings,Central Team,bradley.com,0
