category,rank,company,domain,contact_count
Tier 1 strategy consulting firms,1,McKinsey & Company,mckinsey.com,135
Tier 1 strategy consulting firms,2,Boston Consulting Group (BCG),bcg.com,75
Tier 1 strategy consulting firms,3,Bain & Company,bain.com,45
