category,rank,company,segment,domain,contact_count
Business Insurance Top 100 insurance brokerages,67,Christensen Group Inc.,regional_producer,christensengroup.com,0
Business Insurance Top 100 insurance brokerages,68,MJ Cos.,regional_producer,mjinsurance.com,0
Business Insurance Top 100 insurance brokerages,69,First Insurance (FNIC),bank_captive,fnicgroup.com,0
Business Insurance Top 100 insurance brokerages,70,Frost Insurance Agency,bank_captive,frostbank.com,0
Business Insurance Top 100 insurance brokerages,71,Tricor Insurance,regional_producer,tricorinsurance.com,0
Business Insurance Top 100 insurance brokerages,72,Panorama Insurance Associates,regional_producer,panorama360.com,0
Business Insurance Top 100 insurance brokerages,73,LP Insurance Services,regional_producer,lpins.net,0
Business Insurance Top 100 insurance brokerages,74,Ansay & Associates,regional_producer,ansay.com,0
Business Insurance Top 100 insurance brokerages,75,Reliance Partners,pe_rollup,reliancepartners.com,0
Business Insurance Top 100 insurance brokerages,76,Rich & Cartmill,regional_producer,rcins.com,0
Business Insurance Top 100 insurance brokerages,77,Kapnick Insurance,regional_producer,kapnick.com,0
Business Insurance Top 100 insurance brokerages,78,OneGroup,bank_captive,onegroup.com,0
Business Insurance Top 100 insurance brokerages,79,R&R Insurance Services,regional_producer,myknowledgebroker.com,0
Business Insurance Top 100 insurance brokerages,80,Ross & Yerger Insurance,regional_producer,rossandyerger.com,0
Business Insurance Top 100 insurance brokerages,81,"Swingle, Collins & Associates",regional_producer,swinglecollins.com,0
Business Insurance Top 100 insurance brokerages,82,Charles L. Crane Agency,regional_producer,craneagency.com,0
Business Insurance Top 100 insurance brokerages,83,Brightline Insurance,regional_producer,brightlineins.com,0
Business Insurance Top 100 insurance brokerages,84,Hotchkiss Insurance,regional_producer,hiallc.com,0
Business Insurance Top 100 insurance brokerages,85,James G. Parker Insurance Associates,regional_producer,jgparker.com,0
Business Insurance Top 100 insurance brokerages,86,The Cason Group,regional_producer,thecasongroup.com,0
Business Insurance Top 100 insurance brokerages,87,Pacwest Alliance Insurance Services,regional_producer,pacwestalliance.com,0
Business Insurance Top 100 insurance brokerages,88,Unico,regional_producer,unicogroup.com,0
Business Insurance Top 100 insurance brokerages,89,OVD Insurance,regional_producer,ovdinsurance.com,0
Business Insurance Top 100 insurance brokerages,90,Plexus,regional_producer,plexusgroupe.com,0
Business Insurance Top 100 insurance brokerages,91,Seubert & Associates,regional_producer,seubert.com,0
Business Insurance Top 100 insurance brokerages,92,Daniel & Henry,regional_producer,danielandhenry.com,0
Business Insurance Top 100 insurance brokerages,93,Commercial Insurance Associates,regional_producer,ciains.com,0
Business Insurance Top 100 insurance brokerages,94,C3 Risk & Insurance Services,pe_rollup,c3risk.com,0
Business Insurance Top 100 insurance brokerages,95,First Mid Insurance Group,bank_captive,firstmid.com,0
Business Insurance Top 100 insurance brokerages,96,Engle-Hambright & Davies (EHD),regional_producer,ehd-ins.com,0
Business Insurance Top 100 insurance brokerages,97,Morris & Garritano Insurance Agency,regional_producer,morrisgarritano.com,0
Business Insurance Top 100 insurance brokerages,98,Moody Insurance Agency,regional_producer,moodyins.com,0
Business Insurance Top 100 insurance brokerages,99,Sequel Insurance Agencies,pe_rollup,sequelagencies.com,0
Business Insurance Top 100 insurance brokerages,100,Bennie Health,pe_platform_national,bennie.com,0
